Source,Target,Weight
7938,7973,93
7938,8495,57
7938,9066,69
7938,8243,126
7938,8016,68
7938,8056,51
7938,7949,100
7938,8028,97
7938,16996,1
7938,8111,29
7938,7970,44
7938,7957,89
7938,7998,57
7938,8703,43
7938,7959,97
7938,8186,84
7938,7983,80
7938,8033,87
7938,8018,88
7938,8131,89
7938,8020,88
7938,7975,81
7938,8413,44
7938,8011,118
7938,8300,123
7938,8272,80
7938,8124,95
7938,7944,42
7938,8647,76
7938,8163,64
7938,7951,62
7938,7946,82
7938,7962,49
7938,7980,65
7938,7940,77
7938,9647,49
7938,8031,70
7938,8287,107
7938,8008,82
7938,8136,70
7938,8780,30
7938,7985,87
7938,8211,81
7938,7967,110
7938,8738,36
7938,8086,84
7938,8023,60
7938,7992,102
7938,8005,103
7938,8184,84
7938,7990,56
7938,8174,49
7938,8093,82
7938,8121,58
7938,8321,44
7938,7964,97
7938,7994,75
7938,8167,74
7938,8188,80
7938,8002,49
7938,7953,100
7938,8474,71
7938,8198,101
7938,8305,75
7938,8109,34
7938,7934,79
7938,7918,80
7938,7908,80
7938,7922,68
7938,7910,54
7938,7914,71
7938,7906,63
7938,7920,75
7938,7931,86
7938,7924,58
7938,7912,37
7938,7926,78
7938,7936,55
7938,7916,89
7938,7929,121
7940,8460,72
7940,8114,62
7940,8495,33
7940,8131,54
7940,7962,52
7940,8002,42
7940,7975,74
7940,8428,37
7940,8124,45
7940,7959,64
7940,8219,49
7940,8111,39
7940,8121,57
7940,8008,52
7940,8073,39
7940,8287,85
7940,8011,84
7940,8245,72
7940,7953,50
7940,8305,61
7940,8198,79
7940,8188,41
7940,7951,43
7940,8163,32
7940,7980,36
7940,8086,53
7940,8031,62
7940,7978,41
7940,8904,44
7940,8033,59
7940,7973,79
7940,8091,55
7940,8780,52
7940,7942,66
7940,7990,55
7940,7992,77
7940,8243,70
7940,8848,40
7940,8005,52
7940,8109,33
7940,8280,39
7940,7946,69
7940,8413,32
7940,7949,60
7940,8119,64
7940,8140,46
7940,16996,1
7940,7944,32
7940,8045,25
7940,7994,38
7940,8321,41
7940,7988,43
7940,8028,48
7940,10112,40
7940,7970,46
7940,8047,55
7940,8020,70
7940,8647,42
7940,8174,34
7940,8084,57
7940,8000,71
7940,10937,2
7940,8186,70
7940,8703,33
7940,8167,33
7940,8149,90
7940,8211,64
7940,8474,71
7940,7964,56
7940,7998,33
7940,8023,68
7940,8056,47
7940,8136,63
7940,9647,33
7940,7957,65
7940,8016,44
7940,8093,63
7940,7967,65
7940,7983,39
7940,8738,32
7940,10167,40
7940,7985,86
7940,8300,76
7940,7955,38
7940,8272,52
7940,9066,62
7940,8184,61
7940,8018,61
7940,7910,42
7940,7936,32
7940,7926,61
7940,7906,55
